,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 26 01 00,33,4,2,1,0,1
2020 01 26 02 00,33,4,2,1,0,1
2020 01 26 03 00,33,4,2,1,0,1
2020 01 26 04 00,32,4,1,1,0,1
2020 01 26 05 00,4,3,0,1,1,2
2020 01 26 06 00,4,3,0,1,1,2
2020 01 26 07 00,4,3,0,1,1,2
2020 01 26 08 00,40,6,7,1,1,2
2020 01 26 09 00,40,6,7,1,1,2
2020 01 26 10 00,40,6,7,1,1,2
2020 01 26 11 00,40,6,7,1,1,2
2020 01 26 12 00,31,4,1,1,1,2
2020 01 26 13 00,4,3,0,1,1,2
2020 01 26 14 00,4,3,0,1,1,2
2020 01 26 15 00,4,3,0,1,1,2
2020 01 26 16 00,4,3,0,1,1,2
2020 01 26 17 00,4,3,0,1,1,2
2020 01 26 18 00,4,3,0,1,1,2
2020 01 26 19 00,4,3,0,1,1,2
2020 01 26 20 00,4,3,0,1,1,2
2020 01 26 21 00,4,3,0,1,1,2
2020 01 26 22 00,40,6,7,1,1,2
2020 01 26 23 00,40,6,7,1,1,2
2020 01 27 00 00,40,6,7,1,1,2
2020 01 27 01 00,40,6,9,1,0,1
2020 01 27 02 00,40,6,9,1,0,1
2020 01 27 03 00,40,6,7,1,1,2
2020 01 27 04 00,40,6,9,1,0,1
2020 01 27 05 00,40,6,7,1,1,2
2020 01 27 06 00,40,6,7,1,1,2
2020 01 27 07 00,4,3,0,1,1,2
2020 01 27 08 00,4,3,0,1,1,2
2020 01 27 09 00,4,3,0,1,1,2
2020 01 27 10 00,40,6,7,1,1,2
2020 01 27 11 00,40,6,7,1,1,2
2020 01 27 12 00,40,6,7,1,1,2
2020 01 27 13 00,51,6,9,1,1,2
2020 01 27 14 00,51,6,9,1,1,2
2020 01 27 15 00,52,8,10,1,1,2
2020 01 27 16 00,51,6,9,1,1,2
2020 01 27 17 00,40,6,7,1,1,2
2020 01 27 18 00,40,6,7,1,1,2
2020 01 27 19 00,40,6,7,1,1,2
2020 01 27 20 00,40,6,7,1,1,2
2020 01 27 21 00,40,6,7,1,1,2
2020 01 27 22 00,40,6,7,1,1,2
2020 01 27 23 00,40,6,7,1,1,2
2020 01 28 00 00,40,6,7,1,1,2
